 ,secID,ticker,exchangeCD,secShortName,secFullName,industryVersionCD,industry,industryID,industrySymbol,intoDate,outDate,isNew,industryID1,industryName1,industryID2,industryName2
6345,300074.XSHE,300074,XSHE,华平股份,华平信息技术股份有限公司,10303,申万行业分类,10303340301,470302,2011/10/10,2014/1/1,0,1030334,信息服务,103033403,计算机应用
6346,300074.XSHE,300074,XSHE,华平股份,华平信息技术股份有限公司,10303,申万行业分类,10303340302,470303,2010/4/16,2011/10/10,0,1030334,信息服务,103033403,计算机应用
6347,300075.XSHE,300075,XSHE,数字政通,北京数字政通科技股份有限公司,10303,申万行业分类,10303250201,710201,2014/1/1,2015/10/26,0,1030325,计算机,103032502,计算机应用
6348,300075.XSHE,300075,XSHE,数字政通,北京数字政通科技股份有限公司,10303,申万行业分类,10303250201,710201,2015/10/26,2015/11/2,0,1030325,计算机,103032502,计算机应用
6349,300075.XSHE,300075,XSHE,数字政通,北京数字政通科技股份有限公司,10303,申万行业分类,10303250201,710201,2015/11/2,,1,1030325,计算机,103032502,计算机应用
6350,300075.XSHE,300075,XSHE,数字政通,北京数字政通科技股份有限公司,10303,申万行业分类,10303340301,470302,2010/4/17,2014/1/1,0,1030334,信息服务,103033403,计算机应用
6351,300076.XSHE,300076,XSHE,GQY视讯,宁波GQY视讯股份有限公司,10303,申万行业分类,10303120301,270301,2010/1/22,2010/4/22,0,1030312,电子,103031203,光学光电子
6352,300076.XSHE,300076,XSHE,GQY视讯,宁波GQY视讯股份有限公司,10303,申万行业分类,10303120301,270301,2010/4/22,2016/8/4,0,1030312,电子,103031203,光学光电子
6353,300076.XSHE,300076,XSHE,GQY视讯,宁波GQY视讯股份有限公司,10303,申万行业分类,10303120301,270301,2016/8/4,,1,1030312,电子,103031203,光学光电子
6354,300077.XSHE,300077,XSHE,国民技术,国民技术股份有限公司,10303,申万行业分类,10303120101,270101,2010/1/22,2010/4/22,0,1030312,电子,103031201,半导体
6355,300077.XSHE,300077,XSHE,国民技术,国民技术股份有限公司,10303,申万行业分类,10303120101,270101,2010/4/22,2015/10/31,0,1030312,电子,103031201,半导体
6356,300077.XSHE,300077,XSHE,国民技术,国民技术股份有限公司,10303,申万行业分类,10303120101,270101,2015/10/31,,1,1030312,电子,103031201,半导体
6357,300078.XSHE,300078,XSHE,思创医惠,思创医惠科技股份有限公司,10303,申万行业分类,10303120401,270401,2011/1/10,2011/10/10,0,1030312,电子,103031204,其他电子
6358,300078.XSHE,300078,XSHE,思创医惠,思创医惠科技股份有限公司,10303,申万行业分类,10303120401,270401,2011/10/10,,1,1030312,电子,103031204,其他电子
6359,300078.XSHE,300078,XSHE,思创医惠,思创医惠科技股份有限公司,10303,申万行业分类,10303320101,320101,2010/4/22,2011/1/10,0,1030332,信息设备,103033201,通信设备
6360,300079.XSHE,300079,XSHE,数码科技,北京数码视讯科技股份有限公司,10303,申万行业分类,10303250202,710202,2014/1/1,2015/10/26,0,1030325,计算机,103032502,计算机应用
6361,300079.XSHE,300079,XSHE,数码科技,北京数码视讯科技股份有限公司,10303,申万行业分类,10303250202,710202,2015/10/26,2015/11/2,0,1030325,计算机,103032502,计算机应用
6362,300079.XSHE,300079,XSHE,数码科技,北京数码视讯科技股份有限公司,10303,申万行业分类,10303250202,710202,2015/11/2,,1,1030325,计算机,103032502,计算机应用
6363,300079.XSHE,300079,XSHE,数码科技,北京数码视讯科技股份有限公司,10303,申万行业分类,10303340302,470303,2010/4/22,2014/1/1,0,1030334,信息服务,103033403,计算机应用
6364,300080.XSHE,300080,XSHE,易成新能,河南易成新能源股份有限公司,10303,申万行业分类,10303090103,640103,2014/1/1,,1,1030309,机械设备,103030901,通用机械
6365,300080.XSHE,300080,XSHE,易成新能,河南易成新能源股份有限公司,10303,申万行业分类,10303300103,260103,2010/5/6,2014/1/1,0,1030330,机械设备,103033001,通用机械
6366,300081.XSHE,300081,XSHE,恒信东方,恒信东方文化股份有限公司,10303,申万行业分类,10303270203,730203,2014/1/1,,1,1030327,通信,103032702,通信设备
6367,300081.XSHE,300081,XSHE,恒信东方,恒信东方文化股份有限公司,10303,申万行业分类,10303320104,320104,2010/5/7,2014/1/1,0,1030332,信息设备,103033201,通信设备
6368,300082.XSHE,300082,XSHE,奥克股份,辽宁奥克化学股份有限公司,10303,申万行业分类,10303030309,220309,2014/1/1,,1,1030303,化工,103030303,化学制品
6369,300082.XSHE,300082,XSHE,奥克股份,辽宁奥克化学股份有限公司,10303,申万行业分类,10303030701,220701,2010/5/6,2014/1/1,0,1030303,化工,103030307,化工新材料
6370,300083.XSHE,300083,XSHE,劲胜智能,广东劲胜智能集团股份有限公司,10303,申万行业分类,10303120401,270401,2010/5/12,2011/1/10,0,1030312,电子,103031204,其他电子
6371,300083.XSHE,300083,XSHE,劲胜智能,广东劲胜智能集团股份有限公司,10303,申万行业分类,10303120502,270502,2011/1/10,2011/10/10,0,1030312,电子,103031205,电子制造
6372,300083.XSHE,300083,XSHE,劲胜智能,广东劲胜智能集团股份有限公司,10303,申万行业分类,10303120502,270502,2011/10/10,2015/10/31,0,1030312,电子,103031205,电子制造
6373,300083.XSHE,300083,XSHE,劲胜智能,广东劲胜智能集团股份有限公司,10303,申万行业分类,10303120502,270502,2015/10/31,2016/8/4,0,1030312,电子,103031205,电子制造
6374,300083.XSHE,300083,XSHE,劲胜智能,广东劲胜智能集团股份有限公司,10303,申万行业分类,10303120502,270502,2016/8/4,,1,1030312,电子,103031205,电子制造
6375,300084.XSHE,300084,XSHE,海默科技,海默科技(集团)股份有限公司,10303,申万行业分类,10303020401,210401,2011/1/10,2011/10/10,0,1030302,采掘,103030204,采掘服务
6376,300084.XSHE,300084,XSHE,海默科技,海默科技(集团)股份有限公司,10303,申万行业分类,10303020401,210401,2011/10/10,2015/1/1,0,1030302,采掘,103030204,采掘服务
6377,300084.XSHE,300084,XSHE,海默科技,海默科技(集团)股份有限公司,10303,申万行业分类,10303020401,210401,2015/1/1,2015/7/1,0,1030302,采掘,103030204,采掘服务
6378,300084.XSHE,300084,XSHE,海默科技,海默科技(集团)股份有限公司,10303,申万行业分类,10303090203,640203,2015/7/1,,1,1030309,机械设备,103030902,专用设备
6379,300084.XSHE,300084,XSHE,海默科技,海默科技(集团)股份有限公司,10303,申万行业分类,10303290205,250201,2010/5/6,2011/1/10,0,1030329,建筑建材,103032902,建筑装饰
6380,300085.XSHE,300085,XSHE,银之杰,深圳市银之杰科技股份有限公司,10303,申万行业分类,10303250201,710201,2014/1/1,2017/5/20,0,1030325,计算机,103032502,计算机应用
6381,300085.XSHE,300085,XSHE,银之杰,深圳市银之杰科技股份有限公司,10303,申万行业分类,10303250201,710201,2017/5/20,,1,1030325,计算机,103032502,计算机应用
6382,300085.XSHE,300085,XSHE,银之杰,深圳市银之杰科技股份有限公司,10303,申万行业分类,10303340301,470302,2011/10/10,2014/1/1,0,1030334,信息服务,103033403,计算机应用
6383,300085.XSHE,300085,XSHE,银之杰,深圳市银之杰科技股份有限公司,10303,申万行业分类,10303340302,470303,2010/5/12,2011/10/10,0,1030334,信息服务,103033403,计算机应用
6384,300086.XSHE,300086,XSHE,康芝药业,康芝药业股份有限公司,10303,申万行业分类,10303170102,370102,2010/1/12,2010/5/12,0,1030317,医药生物,103031701,化学制药
6385,300086.XSHE,300086,XSHE,康芝药业,康芝药业股份有限公司,10303,申万行业分类,10303170102,370102,2010/5/12,,1,1030317,医药生物,103031701,化学制药
6386,300087.XSHE,300087,XSHE,荃银高科,安徽荃银高科种业股份有限公司,10303,申万行业分类,10303010101,110101,2010/1/12,2010/5/12,0,1030301,农林牧渔,103030101,种植业
6387,300087.XSHE,300087,XSHE,荃银高科,安徽荃银高科种业股份有限公司,10303,申万行业分类,10303010101,110101,2010/5/12,,1,1030301,农林牧渔,103030101,种植业
6388,300088.XSHE,300088,XSHE,长信科技,芜湖长信科技股份有限公司,10303,申万行业分类,10303120301,270301,2010/1/25,2010/5/25,0,1030312,电子,103031203,光学光电子
6389,300088.XSHE,300088,XSHE,长信科技,芜湖长信科技股份有限公司,10303,申万行业分类,10303120301,270301,2010/5/25,2015/10/31,0,1030312,电子,103031203,光学光电子
6390,300088.XSHE,300088,XSHE,长信科技,芜湖长信科技股份有限公司,10303,申万行业分类,10303120301,270301,2015/10/31,2016/8/4,0,1030312,电子,103031203,光学光电子
